CODIGO_SCIAN,ANIO,H010B,H010C,I100B,I100C,H010D,I100D,J000A,O110A,M710B,M710C,M999A,M310B,M310C,K316B,K316C,K910A,K411A,K951A,K412A,K961A,K610A,K810A,K710A,K500A,K931A,K999A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q000C,Q000D,ESTATUS
311213,2014,3610,409,1241,309,9930,3751,791235,20192156,0,0,122150,19568133,508226,11865457,491081,567436,600100,175587,413095,405957,221957,204195,0,48417,246333,492393,4007452,1702763,229740,89734,123124,337600,1540914,108188,Cifras definitivas
311215,2014,224,12,68,5,582,178,80489,3689489,0,0,3186,3728277,0,2116603,459179,0,100584,40836,97477,72959,33826,0,0,5945,0,77030,4219832,859941,12050,4643,8795,379166,49026,1850,Cifras definitivas
311221,2014,758,101,1197,248,2436,3592,271155,18325170,0,0,611118,17889930,299062,6336355,5124184,410669,467096,311852,405526,917933,505279,681,47027,68563,0,153005,4593216,988456,2328,52976,18991,386196,409621,1762,Cifras definitivas
311222,2014,5474,588,2502,451,15382,7960,1767573,61282741,417319,0,296098,58687927,2683905,26042149,18326165,2153839,722113,446680,680888,960789,805577,78921,357974,279702,31237,1310836,7660034,2577319,707430,159198,115732,553555,589575,34342,Cifras definitivas
311230,2014,452,247,1755,880,1723,6844,89963,11026876,0,0,3660,10120923,910209,3038305,635208,1567299,122803,128344,160608,72718,871019,10340,7525,50884,0,89384,3688005,1193972,13335,88666,48304,315595,365962,13293,Cifras definitivas
3113,2014,41277,14339,4801,3990,140138,20954,10894507,85525162,627327,2922589,1152663,73624812,11776267,37107497,2658754,4268702,1047667,2144667,813428,1420974,2034314,1053400,660280,805359,90738,2777204,55155068,12589030,846018,589736,852586,3336659,6355031,101986,Cifras definitivas
311311,2014,27706,2735,116,16,79938,340,7193642,44688720,8044,0,482812,37155557,7366890,24893933,0,517927,578887,1511743,247475,835618,27271,507,8044,254592,2062,1400983,42241818,8255393,408752,310417,315416,1865813,2226300,23637,Cifras definitivas
311320,2014,2111,2550,982,497,11318,3596,1031272,12467881,30,459044,185196,12056036,436507,3856852,722575,1071649,116308,154131,152919,147885,242864,411148,23107,135440,58239,319208,2445618,1216460,63830,91465,231555,314364,628408,34992,Cifras definitivas
311330,2014,1258,1210,896,1138,6066,5303,292141,2546046,162487,986681,33556,2433953,152212,966049,27462,265670,17665,48661,92358,51303,226705,9037,157866,30514,1367,153246,665348,1223460,16489,24682,24654,126807,122910,1844,Cifras definitivas
311340,2014,10202,7844,2807,2339,42816,11715,2377452,25822515,456766,1476864,451099,21979266,3820658,7390663,1908717,2413456,334807,430132,320676,386168,1537474,632708,471263,384813,29070,903767,9802284,1893717,356947,163172,280961,1029675,3377413,41513,Cifras definitivas
3114,2014,17375,13083,6720,4827,74234,29349,4183904,63256148,1740009,1213502,886008,49388906,14001605,21196668,2904320,6976811,680485,1004539,949738,1837202,1511444,886951,182465,616487,68239,1426562,13392850,3689851,934280,396374,719949,1254941,1246463,128000,Cifras definitivas
311411,2014,3810,5845,2391,2758,25130,12568,943902,9458554,2191,331016,218492,1457237,7907399,3572671,172280,731961,147717,184697,380306,452536,533459,2024,27181,114350,0,323917,2407458,1064146,183542,46495,125821,238545,381624,38431,Cifras definitivas
311422,2014,11645,6052,3344,1505,41925,12883,2619060,35396873,1737818,882486,656194,30922634,4719771,10684698,2311461,4261270,471160,644031,469655,1277106,678073,855330,137514,415273,29676,880301,8701542,2204565,571923,320746,485423,806096,669545,68794,Cifras definitivas
311423,2014,1920,1186,985,564,7179,3898,620942,18400721,0,0,11322,17009035,1374435,6939299,420579,1983580,61608,175811,99777,107560,299912,29597,17770,86864,38563,222344,2283850,421140,178815,29133,108705,210300,195294,20775,Cifras definitivas
3115,2014,21297,5136,10742,3105,68502,34656,4878081,121989778,972107,0,1289053,117353575,3924886,57325580,6263850,10160369,1557997,1583371,1095097,1631658,2599797,1644612,557308,545677,32547,2187194,19376065,5711141,3888456,586089,1500757,2240597,3284003,202107,Cifras definitivas
311511,2014,12939,2279,6179,1104,40597,18730,3032898,50208353,276197,0,705338,50152029,0,28907386,1122374,5141006,696114,1004399,469590,1049572,1276919,674318,451967,285655,2579,1340351,6454384,2532218,3168755,261980,436905,956260,680801,158692,Cifras definitivas
311512,2014,2529,439,629,214,7447,2194,716062,28765640,634775,0,31252,24663497,3703112,9509560,4218110,2386354,507849,212547,215694,95042,242830,14706,79395,93315,0,274708,5712033,1707293,111689,121889,631632,450046,1942510,11518,Cifras definitivas
311513,2014,5829,2418,3934,1787,20458,13732,1129121,43015785,61135,0,552463,42538049,221774,18908634,923366,2633009,354034,366425,409813,487044,1080048,955588,25946,166707,29968,572135,7209648,1471630,608012,202220,432220,834291,660692,31897,Cifras definitivas
3116,2014,23978,15206,14832,7544,95572,54393,6125575,94286357,1202532,11589,7799404,88165952,6050554,57577427,4499728,1731413,1219868,899806,1287942,1231913,2920247,249977,78430,575659,102571,1906522,10719918,8828234,2620340,623740,852922,1883472,2101617,303995,Cifras definitivas
311611,2014,3258,888,9197,4022,10319,32485,503851,40113750,999639,0,154536,38368460,1731926,28668091,174941,556649,391301,496285,588169,212602,1633371,12000,51372,191032,737,586688,4343986,3853989,302077,126614,101950,597469,414011,56464,Cifras definitivas
311612,2014,3887,1567,4247,1968,13491,14422,591458,22020683,199310,11589,551690,17934755,4032795,11199265,2415050,372142,113231,114110,276411,232872,912339,24538,15701,72927,5370,420844,1804807,2085116,219772,133428,79159,354444,310576,25394,Cifras definitivas
311613,2014,16833,12751,1388,1554,71762,7486,5030266,32151924,3583,0,7093178,31862737,285833,17710071,1909737,802622,715336,289411,423362,786439,374537,213439,11357,311700,96464,898990,4571125,2889129,2098491,363698,671813,931559,1377030,222137,Cifras definitivas
3117,2014,1679,897,3196,2604,6236,12740,277961,10887685,51887,5281,112991,9219888,1580363,4716775,364077,2012187,204297,165270,156206,125559,722939,8780,12494,44440,5888,243915,1853733,721746,141452,40571,79223,252246,197804,25463,Cifras definitivas
311710,2014,1679,897,3196,2604,6236,12740,277961,10887685,51887,5281,112991,9219888,1580363,4716775,364077,2012187,204297,165270,156206,125559,722939,8780,12494,44440,5888,243915,1853733,721746,141452,40571,79223,252246,197804,25463,Cifras definitivas
3118,2014,185150,116639,7749,5114,806502,33241,17621145,148485469,527,0,1939386,143046038,5299539,55269914,845065,7201651,4564265,2605994,2222154,908901,2498948,391684,8222,3004355,53506,4490907,25869686,21100757,4642610,442246,1531809,4538308,1780777,66754,Cifras definitivas
311811,2014,14585,2190,33,71,43769,252,4090667,55412799,0,0,404726,53236954,2159554,13230759,214956,2095199,550284,968633,303141,178381,10654,4993,0,532610,647,1992545,5830246,277520,1204150,90651,506915,1032549,475408,37070,Cifras definitivas
311812,2014,92037,34309,0,0,302920,0,5963704,28206454,0,0,299418,28206682,0,13066157,101066,777665,767529,309256,419983,65169,0,37219,0,838672,0,906081,4570985,3952819,1493654,127871,543908,764288,346358,10941,Cifras definitivas
311820,2014,4290,3136,7716,5043,18111,32989,1085427,27074384,527,0,737917,23810570,3139985,12316245,529043,3577906,399292,516164,299704,662174,2488294,308752,8222,177469,52859,815743,7073889,2554343,468630,212777,188519,904872,913961,18743,Cifras definitivas
311830,2014,74238,77004,0,0,441702,0,6481347,37791832,0,0,497325,37791832,0,16656753,0,750881,2847160,811941,1199326,3177,0,40720,0,1455604,0,776538,8394566,14316075,1476176,10947,292467,1836599,45050,0,Cifras definitivas
3119,2014,10957,5398,12548,5921,39837,47731,3334087,135656360,332938,561942,864354,119240684,16258459,36277020,3884146,7322715,1354337,1417342,985458,1854477,5175664,954529,548366,757764,461685,3635744,18090134,6544917,1720520,719088,699933,1872214,2414086,169223,Cifras definitivas
311910,2014,3006,2260,4665,2087,12778,18656,1036414,63138087,36181,482124,23959,61453827,1616909,11102700,531172,3431431,680739,575399,283841,320202,1361479,22203,38706,310882,13659,1311653,5659154,1877039,903308,115074,109202,644636,695665,53375,Cifras definitivas
311921,2014,257,67,423,106,800,1339,28549,4045898,17329,45982,26959,2861141,1163055,2857413,0,20074,29454,22341,16500,32610,76395,960,3691,7306,0,83750,338128,203929,94514,18816,21298,55302,18935,4095,Cifras definitivas
311922,2014,306,167,344,148,1128,1225,69766,4018171,13871,0,201099,3491744,527537,1637739,403984,175914,36397,34612,22551,69870,111505,11392,0,31299,0,61144,877652,91548,74179,32334,29154,72761,81357,8893,Cifras definitivas
311923,2014,1460,436,294,125,4916,1044,381671,7579228,1488,0,27799,6137025,1425643,1977706,903000,1042775,114209,79257,60516,44487,52191,25286,22403,36552,1818,260443,2244376,474135,105718,36197,137828,149836,589337,4357,Cifras definitivas
311930,2014,1324,477,3415,1918,4202,13256,449530,28569585,10959,781,215612,21546830,7008447,7339637,640523,515622,247846,311962,208626,478451,1852065,298834,7022,173511,43117,386999,3869860,1522520,112056,223147,126360,315758,432266,12428,Cifras definitivas
311940,2014,2407,967,2020,699,8162,6779,692199,16705624,232540,33055,174057,15483899,1233299,5641294,1094877,1729962,121049,245868,193735,628218,1192397,469585,441387,97479,329504,1174138,2650970,1484563,274809,217742,178781,368775,316282,15291,Cifras definitivas
311991,2014,338,117,323,235,1195,1241,163101,3421621,0,0,12826,3243073,171987,1542427,151379,120142,44515,28560,45841,156996,238905,107148,18212,22688,0,78647,476046,82074,24522,34966,24398,63489,39653,434,Cifras definitivas
311992,2014,695,274,144,13,2210,432,265392,2741452,1620,0,60898,1392382,1339979,859739,79082,124658,33404,67405,103723,37957,27916,8047,15560,5742,73007,97853,1156953,502032,14780,8640,13697,101289,129674,43066,Cifras definitivas
311999,2014,1164,633,920,590,4446,3759,247465,5436694,18950,0,121145,3630763,1771603,3318365,80129,162137,46724,51938,50125,85686,262811,11074,1385,72305,580,181117,816995,307077,116634,32172,59215,100368,110917,27284,Cifras definitivas
312,2014,78982,10260,19972,3078,228454,56560,12827817,311297910,2151958,837228,8746975,263272937,48003952,62646239,5686777,49556773,3674119,4792434,2644445,2953342,6759647,7930734,2625480,2070516,828285,8375905,85937112,34696077,10617454,1952400,17181349,8685087,8949983,373821,Cifras definitivas
3121,2014,77974,10036,19241,2873,225651,54289,12486157,270872276,2112192,18085,8218610,223547935,47384775,60697041,3526514,49503675,3629673,4624199,2554577,2847209,5634864,7502158,2567782,2034467,489375,7880564,82200185,33255134,10462948,1646471,17046441,8284296,8413267,358873,Cifras definitivas
312111,2014,35120,3223,6183,789,97235,17495,7646779,147287601,1902531,0,4454551,145044055,2310172,46644414,76474,19685587,1425973,2833925,1552576,1378092,1282879,2552162,2252718,954864,271169,3445735,27364717,12485959,7791612,1094588,15066275,4405118,2505432,24775,Cifras definitivas
312112,2014,36217,5850,3931,635,110077,11399,2583667,9740652,0,0,447418,9741269,0,766966,0,472771,618220,366206,260945,101555,582955,77363,0,546500,99425,527915,3455886,2157432,1748918,85362,326491,625946,104902,19981,Cifras definitivas
312120,2014,4610,65,5619,215,11409,14470,1735037,84649406,0,0,1821446,54272927,30293810,7836221,3116956,26514079,1198510,1188915,557034,940947,1977691,2676074,0,280641,38066,3309740,46610662,15566793,398598,209111,1410794,2727055,5135415,286379,Cifras definitivas
312131,2014,238,63,1117,477,707,3423,41098,3434915,0,0,505790,3383346,59681,653467,153003,645204,16688,38674,26714,88318,453824,315154,1469,24753,654,106415,579930,342922,9265,9370,32819,60629,25282,180,Cifras definitivas
312141,2014,98,48,325,92,361,860,11883,1759959,0,0,402917,1377311,374533,540789,0,354733,139539,2963,16949,28986,206002,636663,0,4121,43154,15146,206425,704560,281779,66370,2902,58140,51552,4827,Cifras definitivas
312142,2014,1557,714,2065,664,5389,6638,425548,23734359,209661,18085,552945,9583623,14227139,4172228,151759,1771551,225403,188544,138529,301004,1131150,1242916,313595,220986,33656,466020,3919056,1893859,211044,178418,197752,394147,589694,22183,Cifras definitivas
312149,2014,134,73,1,1,473,4,42145,265384,0,0,33543,145404,119440,82956,28322,59750,5340,4972,1830,8307,363,1826,0,2602,3251,9593,63509,103609,21732,3252,9408,13261,990,548,Cifras definitivas
3122,2014,1008,224,731,205,2803,2271,341660,40425634,39766,819143,528365,39725002,619177,1949198,2160263,53098,44446,168235,89868,106133,1124783,428576,57698,36049,338910,495341,3736927,1440943,154506,305929,134908,400791,536716,14948,Cifras definitivas
312210,2014,299,142,0,0,1079,0,67626,631609,39766,0,8359,389734,241875,451950,0,9599,8138,13683,8789,5665,0,668,25320,7593,0,23312,151028,119854,13275,10614,14103,18817,19696,7490,Cifras definitivas
312221,2014,709,82,731,205,1724,2271,274034,39794025,0,819143,520006,39335268,377302,1497248,2160263,43499,36308,154552,81079,100468,1124783,427908,32378,28456,338910,472029,3585899,1321089,141231,295315,120805,381974,517020,7458,Cifras definitivas
313,2014,32756,12713,8474,3118,109071,28484,5585051,49174332,2234619,1502637,538405,33310578,15563777,13580845,11145593,447017,996561,1121959,2748370,545540,1737899,54147,1159954,792188,224158,1437827,25586134,5662326,513844,384550,477340,1575662,1197079,99819,Cifras definitivas
3131,2014,4017,2120,2633,1007,14643,8486,767928,7492804,293341,165193,139606,5562601,1933129,1853242,1698783,126857,61547,188807,718622,68116,440710,9426,25786,204977,28573,214560,6126354,1117149,105115,36447,92475,332671,107008,9556,Cifras definitivas
313112,2014,2145,1069,2502,986,7570,8102,373140,4939423,168297,165193,96548,3713295,1241337,1357626,1215388,86860,32320,99815,566866,40659,425984,3127,19532,60646,27,135735,4598213,785457,72366,20325,39934,246021,37851,7837,Cifras definitivas
313113,2014,1872,1051,131,21,7073,384,394788,2553381,125044,0,43058,1849306,691792,495616,483395,39997,29227,88992,151756,27457,14726,6299,6254,144331,28546,78825,1528141,331692,32749,16122,52541,86650,69157,1719,Cifras definitivas
3132,2014,23358,7774,4461,1638,77084,15754,4016769,34649268,1014695,890435,367434,24565468,9817600,9843800,7291043,282688,802953,826351,1857567,441119,910150,38818,849160,452384,190748,1023500,18019212,4411926,339347,294965,328367,1124136,998625,75171,Cifras definitivas
313210,2014,17392,5721,2066,254,57917,6304,2909444,22584500,535356,888502,273454,14433659,7952055,5129148,5873321,190315,605700,534068,1405789,281522,331255,31801,195024,279873,48173,654712,11927849,3293521,185382,135963,221233,802868,815411,31396,Cifras definitivas
313220,2014,1241,983,682,485,4963,2715,247040,1816055,10694,0,29510,1469869,325736,527611,113101,19764,38942,38793,45906,24432,141731,3992,180966,50759,7764,121438,827634,122043,33603,35712,23114,53286,25978,25476,Cifras definitivas
313230,2014,1557,239,218,121,4438,796,393077,5124732,0,0,21285,4078893,1039308,1968296,871561,50518,64227,126725,213231,106041,120934,2730,22089,41176,134811,88914,2440279,558564,49439,45055,46684,135889,52355,1314,Cifras definitivas
313240,2014,3168,831,1495,778,9766,5939,467208,5123981,468645,1933,43185,4583047,500501,2218745,433060,22091,94084,126765,192641,29124,316230,295,451081,80576,0,158436,2823450,437798,70923,78235,37336,132093,104881,16985,Cifras definitivas
3133,2014,5381,2819,1380,473,17344,4244,800354,7032260,926583,447009,31365,3182509,3813048,1883803,2155767,37472,132061,106801,172181,36305,387039,5903,285008,134827,4837,199767,1440568,133251,69382,53138,56498,118855,91446,15092,Cifras definitivas
313310,2014,3684,2303,685,242,12705,2141,469174,2923591,792898,447009,5692,500847,2421943,230134,1301827,31163,94606,42200,79709,7220,204039,122,50730,49701,0,83691,746461,64318,27771,21191,32178,53715,58766,12531,Cifras definitivas
313320,2014,1697,516,695,231,4639,2103,331180,4108669,133685,0,25673,2681662,1391105,1653669,853940,6309,37455,64601,92472,29085,183000,5781,234278,85126,4837,116076,694107,68933,41611,31947,24320,65140,32680,2561,Cifras definitivas
314,2014,8125,6205,4046,1368,33710,12166,1610620,10752835,178209,1012086,234397,8946167,1739635,4104084,1182213,108141,96719,172962,337440,119603,795178,61674,336354,210599,37634,507839,4539106,1108976,220440,153302,133712,284685,173150,104569,Cifras definitivas
3141,2014,3755,3618,1371,522,16723,3958,908789,5566362,99411,489377,133856,4954802,555288,2095114,568369,47056,56074,69129,66989,49066,278918,59899,254574,106556,37634,257992,2311079,669554,96116,99942,93081,140052,94245,6435,Cifras definitivas
314110,2014,124,52,283,121,349,812,19056,855267,102,0,54531,579058,259372,371163,31841,5012,7259,628,4963,150,113124,15366,0,1175,0,21385,744785,338507,10935,30275,50813,37758,11187,734,Cifras definitivas
314120,2014,3631,3566,1088,401,16374,3146,889733,4711095,99309,489377,79325,4375744,295916,1723951,536528,42044,48815,68501,62026,48916,165794,44533,254574,105381,37634,236607,1566294,331047,85181,69667,42268,102294,83058,5701,Cifras definitivas
3149,2014,4370,2587,2675,846,16987,8208,701831,5186473,78798,522709,100541,3991365,1184347,2008970,613844,61085,40645,103833,270451,70537,516260,1775,81780,104043,0,249847,2228027,439422,124324,53360,40631,144633,78905,98134,Cifras definitivas
